Repository,URL,Owner,Owner Type,Default Branch,Stars,Forks,Subscribers,Open Issues (total),Commits (total),PRs (total),Issues (total),Contributors (total),Created At,Pushed At,Updated At,Last Release Date,Primary Language,License,Topics,Size (KB),Homepage,Has Wiki,Has Pages,Has Build System,Has CI,Contains Parallel/Concurrency Code,Concurrency Signal,Project Type
PlantGeneticsLab/SiPAS-tools,https://github.com/PlantGeneticsLab/SiPAS-tools,PlantGeneticsLab,Organization,,0,0,0,0,84,0,1,4,,,,,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Research
jxiw/ADOPT,https://github.com/jxiw/ADOPT,jxiw,User,,0,0,0,0,107,4,0,3,,,,2023-05-17T15:34:22Z,,mit,,0,,No,No,Yes,No,Yes,parallelStream(,Research
BIOP/qupath-extension-cellpose,https://github.com/BIOP/qupath-extension-cellpose,BIOP,Organization,,0,0,0,0,214,19,45,7,,,,2025-07-14T13:05:54Z,,apache-2.0,cellpose;qupath;omnipose,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
mdfairch/FallrimTools,https://github.com/mdfairch/FallrimTools,mdfairch,User,,0,0,0,0,114,0,0,1,,,,,,apache-2.0,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
aws-lab-01/algoj,https://github.com/aws-lab-01/algoj,aws-lab-01,Organization,,0,0,0,0,10,0,0,1,,,,,,apache-2.0,,0,,No,No,Yes,No,Yes,parallelStream(,Industrial OSS
Tsunaou/MongoDB-SI-Checker,https://github.com/Tsunaou/MongoDB-SI-Checker,Tsunaou,User,,0,0,0,0,53,0,0,3,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
ongdb-contrib/ongdb-lab-security,https://github.com/ongdb-contrib/ongdb-lab-security,ongdb-contrib,Organization,,0,0,0,0,14,0,0,1,,,,2022-06-29T01:44:55Z,,apache-2.0,,0,,No,No,Yes,No,Yes,parallelStream(,Industrial OSS
MyCoRe-Org/MyVidCoRe,https://github.com/MyCoRe-Org/MyVidCoRe,MyCoRe-Org,Organization,,0,0,0,0,642,15,1,6,,,,2021-05-31T10:21:52Z,,gpl-3.0,convert-videos;ffmpeg;mycore;webservice;gpu-support;java;gui;vosk,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
AlexandruGH/Library,https://github.com/AlexandruGH/Library,AlexandruGH,User,,0,0,0,0,10,3,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
CCarbon1024/CCarbon1024Wurst,https://github.com/CCarbon1024/CCarbon1024Wurst,CCarbon1024,User,,0,0,0,0,10,0,0,1,,,,,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
fazleh2010/multilingual-grammar-generator,https://github.com/fazleh2010/multilingual-grammar-generator,fazleh2010,User,,0,0,0,0,190,0,0,5,,,,,,other,,0,,No,No,Yes,No,Yes,parallelStream(,Research
KingPrimes/NyxBot,https://github.com/KingPrimes/NyxBot,KingPrimes,User,,0,0,0,0,835,84,37,5,,,,2025-09-27T17:25:36Z,,mit,qq-bot;qqbot;spring-boot;warframe;warframe-bot;onebot11,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
cryptometa708/exchanges-announcement,https://github.com/cryptometa708/exchanges-announcement,cryptometa708,User,,0,0,0,0,10,0,0,1,,,,,,mit,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
msaiducar/is-anagram,https://github.com/msaiducar/is-anagram,msaiducar,User,,0,0,0,0,10,0,0,1,,,,2023-06-27T23:22:31Z,,,,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
MarcPG1905/BotPG-v2,https://github.com/MarcPG1905/BotPG-v2,MarcPG1905,User,,0,0,0,0,22,0,0,1,,,,,,gpl-3.0,discord-bot;economy;jda;moderation,0,,No,No,Yes,No,Yes,parallelStream(,Research
HYK97/CodeingTest,https://github.com/HYK97/CodeingTest,HYK97,User,,0,0,0,0,435,0,0,2,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
lucas-ifsp/software-testing,https://github.com/lucas-ifsp/software-testing,lucas-ifsp,User,,0,0,0,0,10,0,0,1,,,,,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
mc-SneakyBastard/SneakyBastard,https://github.com/mc-SneakyBastard/SneakyBastard,mc-SneakyBastard,Organization,,0,0,0,0,30,0,0,1,,,,,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Industrial OSS
LuzianU/better-beatoraja,https://github.com/LuzianU/better-beatoraja,LuzianU,User,,0,0,0,0,2887,0,0,47,,,,2022-07-17T11:43:25Z,,gpl-3.0,,0,,No,No,No,Yes,Yes,parallelStream(,Research
caleb-fynewever/Cocoon,https://github.com/caleb-fynewever/Cocoon,caleb-fynewever,User,,0,0,0,0,26,1,0,2,,,,,,other,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
now1113/study,https://github.com/now1113/study,now1113,User,,0,0,0,0,58,0,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
MarcosDanielBudtinger/gra,https://github.com/MarcosDanielBudtinger/gra,MarcosDanielBudtinger,User,,0,0,0,0,25,0,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Research
bartdecu/fhirfederator,https://github.com/bartdecu/fhirfederator,bartdecu,User,,0,0,0,0,95,29,23,4,,,,,,cc0-1.0,fhir-server,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
DmitrievSergey/search_engine,https://github.com/DmitrievSergey/search_engine,DmitrievSergey,User,,0,0,0,0,30,9,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Research
NAVERON/FxComponents,https://github.com/NAVERON/FxComponents,NAVERON,User,,0,0,0,0,29,0,0,2,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
LucasWolschick/moa-scp-mh,https://github.com/LucasWolschick/moa-scp-mh,LucasWolschick,User,,0,0,0,0,11,0,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
oswald229/katas,https://github.com/oswald229/katas,oswald229,User,,0,0,0,0,208,0,0,2,,,,,,,,0,,No,No,Yes,Yes,Yes,parallelStream(,Open-source (general)
LordMonoxide/opensiege,https://github.com/LordMonoxide/opensiege,LordMonoxide,User,,0,0,0,0,30,0,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
myportfolio-yj/backend-mic-clinica,https://github.com/myportfolio-yj/backend-mic-clinica,myportfolio-yj,Organization,,0,0,0,0,12,0,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Research
CopperV/EpicPvP,https://github.com/CopperV/EpicPvP,CopperV,User,,0,0,0,0,14,3,0,1,,,,2024-02-08T15:52:47Z,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
herrsalmi/IntOmics,https://github.com/herrsalmi/IntOmics,herrsalmi,User,,0,0,0,0,107,24,0,3,,,,2021-03-19T10:52:59Z,,gpl-3.0,multi-omics-data;bioinformatics,0,,No,No,Yes,No,Yes,parallelStream(,Research
WolkisTM/wurst-1.16.5,https://github.com/WolkisTM/wurst-1.16.5,WolkisTM,User,,0,0,0,0,10,0,1,2,,,,,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
StarRocks/starrocks-connector-for-apache-flink,https://github.com/StarRocks/starrocks-connector-for-apache-flink,StarRocks,Organization,,0,0,0,0,322,312,147,33,,,,2025-09-19T07:52:14Z,,apache-2.0,,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
husonlab/splitstree6,https://github.com/husonlab/splitstree6,husonlab,User,,0,0,0,0,1009,1,49,7,,,,2025-08-10T05:54:24Z,,,distances;javafx;networks;phylogenetics;trees,0,,No,No,Yes,No,Yes,parallelStream(,Research
ArcaneArts/CurseJava,https://github.com/ArcaneArts/CurseJava,ArcaneArts,Organization,,0,0,0,0,28,0,1,1,,,,2023-05-23T11:07:16Z,,gpl-3.0,,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
contractautomataproject/ContractAutomataLib,https://github.com/contractautomataproject/ContractAutomataLib,contractautomataproject,Organization,,0,0,0,0,716,8,7,7,,,,2022-04-29T12:42:33Z,,gpl-3.0,contract;automata;choreography;synthesis;orchestration;supervisory-control;composition,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
EduardRK/Tinkoff_Java_First_Sem,https://github.com/EduardRK/Tinkoff_Java_First_Sem,EduardRK,User,,0,0,0,0,98,21,0,1,,,,,,,,0,,No,No,Yes,Yes,Yes,parallelStream(,Industrial OSS
art0s-dev/hexenhammer,https://github.com/art0s-dev/hexenhammer,art0s-dev,User,,0,0,0,0,120,0,6,2,,,,,,other,,0,,No,No,Yes,No,Yes,parallelStream(,Research
jinghui70/rainbow-dbaccess,https://github.com/jinghui70/rainbow-dbaccess,jinghui70,User,,0,0,0,0,75,0,0,1,,,,2022-09-22T12:19:49Z,,mit,,0,,No,No,Yes,No,Yes,parallelStream(,Research
RIPE-NCC/rpki-core,https://github.com/RIPE-NCC/rpki-core,RIPE-NCC,Organization,,0,0,0,0,123,1,0,1,,,,,,other,,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
Souad-ESSABANNE/Progfonctionnelle,https://github.com/Souad-ESSABANNE/Progfonctionnelle,Souad-ESSABANNE,User,,0,0,0,0,23,5,0,2,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
djhelbert/java21ocp,https://github.com/djhelbert/java21ocp,djhelbert,User,,0,0,0,0,46,0,0,2,,,,,,,java,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
rnhc1000/challenge75,https://github.com/rnhc1000/challenge75,rnhc1000,User,,0,0,0,0,454,219,0,2,,,,,,,coding-challenges;java,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
allurx/annotation-parser,https://github.com/allurx/annotation-parser,allurx,User,,0,0,0,0,47,6,0,2,,,,2025-03-01T10:42:12Z,,apache-2.0,annotation-parser,0,,No,No,Yes,No,Yes,parallelStream(,Research
hardikSinghBehl/checkbox-values-bitfield-enum-poc,https://github.com/hardikSinghBehl/checkbox-values-bitfield-enum-poc,hardikSinghBehl,User,,0,0,0,0,13,0,0,2,,,,,,,java;rdb;database;bitfield;enumset,0,,No,No,Yes,No,Yes,parallelStream(,Research
rat-genome-database/go-nonrat-annotation-pipeline,https://github.com/rat-genome-database/go-nonrat-annotation-pipeline,rat-genome-database,Organization,,0,0,0,0,63,0,0,1,,,,,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Research
XGVela/tmaas,https://github.com/XGVela/tmaas,XGVela,Organization,,0,0,0,0,10,2,0,2,,,,2022-11-25T15:15:57Z,,apache-2.0,,0,,No,No,Yes,No,Yes,parallelStream(,Industrial OSS
DanielTM999/VolatileCache,https://github.com/DanielTM999/VolatileCache,DanielTM999,User,,0,0,0,0,10,0,0,1,,,,2025-04-21T19:31:16Z,,,,0,,No,No,Yes,No,Yes,parallelStream(,Research
HttpsWinicius/microservice-sqs-order-receiver,https://github.com/HttpsWinicius/microservice-sqs-order-receiver,HttpsWinicius,User,,0,0,0,0,16,3,0,1,,,,,,mit,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
matsim-scenarios/matsim-mexico-city,https://github.com/matsim-scenarios/matsim-mexico-city,matsim-scenarios,Organization,,0,0,0,0,163,11,0,1,,,,2024-04-02T19:26:40Z,,agpl-3.0,,0,,No,No,Yes,Yes,Yes,parallelStream(,Industrial OSS
florentbo/advent-of-code,https://github.com/florentbo/advent-of-code,florentbo,User,,0,0,0,0,385,0,0,3,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
svmsangam/inventory-spring-mvc,https://github.com/svmsangam/inventory-spring-mvc,svmsangam,User,,0,0,0,0,731,0,0,6,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
VideoGameSmash12/jrgrab,https://github.com/VideoGameSmash12/jrgrab,VideoGameSmash12,User,,0,0,0,0,36,4,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Research
favourdan/furniture_store_BE,https://github.com/favourdan/furniture_store_BE,favourdan,User,,0,0,0,0,474,0,0,20,,,,,,apache-2.0,,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
egch/1Z0-829-preparation,https://github.com/egch/1Z0-829-preparation,egch,User,,0,0,0,0,344,5,1,4,,,,,,apache-2.0,certification;java;java17;ocp;ocp17;oracle;1z0-829;oracle-certified-professional;java-17,0,,No,No,Yes,No,Yes,parallelStream(,Research
Ruvinda-Shaluka/DreamBabyCareProductsProject,https://github.com/Ruvinda-Shaluka/DreamBabyCareProductsProject,Ruvinda-Shaluka,User,,0,0,0,0,39,0,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
