Repository,Repo URL,Commit SHA,Commit Date (UTC),Commit URL,File Path,Line,File URL at Commit,Signal,Category,Code Snippet,Short Description
ï»¿PlantGeneticsLab/SiPAS-tools,https://github.com/PlantGeneticsLab/SiPAS-tools,c8851b9ea10bef427632e827382ba3cae8e96bcc,2021-09-30T03:25:26Z,https://github.com/PlantGeneticsLab/SiPAS-tools/commit/c8851b9ea10bef427632e827382ba3cae8e96bcc,src/main/java/app/Counting.java,20,https://github.com/PlantGeneticsLab/SiPAS-tools/blob/c8851b9ea10bef427632e827382ba3cae8e96bcc/src/main/java/app/Counting.java#L20,parallelStream(,Parallel Streams,"18: import utils.MonitorUtils;
   19: 
>> 20: public class Counting {
   21: 
   22:     String inputFileDirS = null;",Introduces parallel processing on a stream.
PlantGeneticsLab/SiPAS-tools,https://github.com/PlantGeneticsLab/SiPAS-tools,89151b030db38b7400fee9e4dae286c5da7f9295,2022-07-05T07:13:25Z,https://github.com/PlantGeneticsLab/SiPAS-tools/commit/89151b030db38b7400fee9e4dae286c5da7f9295,src/main/java/app/SampleValidation.java,24,https://github.com/PlantGeneticsLab/SiPAS-tools/blob/89151b030db38b7400fee9e4dae286c5da7f9295/src/main/java/app/SampleValidation.java#L24,parallelStream(,Parallel Streams,"22: 
   23: 
>> 24: public class SampleValidation {
   25: 
   26:     int chrStart = 1;",Introduces parallel processing on a stream.
PlantGeneticsLab/SiPAS-tools,https://github.com/PlantGeneticsLab/SiPAS-tools,89151b030db38b7400fee9e4dae286c5da7f9295,2022-07-05T07:13:25Z,https://github.com/PlantGeneticsLab/SiPAS-tools/commit/89151b030db38b7400fee9e4dae286c5da7f9295,src/main/java/app/QC.java,23,https://github.com/PlantGeneticsLab/SiPAS-tools/blob/89151b030db38b7400fee9e4dae286c5da7f9295/src/main/java/app/QC.java#L23,ExecutorService,Executors / Thread Pools,"21:  * Quality Control
   22:  * @author yxh
>> 23:  */
   24: 
   25:",Uses an Executor/Thread pool for concurrency.
PlantGeneticsLab/SiPAS-tools,https://github.com/PlantGeneticsLab/SiPAS-tools,ab91bebb29206fa4503b5329b04df2e84d5d4932,2021-08-29T03:10:29Z,https://github.com/PlantGeneticsLab/SiPAS-tools/commit/ab91bebb29206fa4503b5329b04df2e84d5d4932,src/main/java/utils/Command.java,10,https://github.com/PlantGeneticsLab/SiPAS-tools/blob/ab91bebb29206fa4503b5329b04df2e84d5d4932/src/main/java/utils/Command.java#L10,Callable,Threads,"8: 
   9: /**
>> 10:  * command line for threadpool
   11:  *
   12:  * @ author: yxh",Spawns or manages explicit threads.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,9b2f79b4d6c1193c50027456d25a25580be5bb4f,2023-05-18T20:56:52Z,https://github.com/jxiw/ADOPT/commit/9b2f79b4d6c1193c50027456d25a25580be5bb4f,src/indexing/Indexer.java,17,https://github.com/jxiw/ADOPT/blob/9b2f79b4d6c1193c50027456d25a25580be5bb4f/src/indexing/Indexer.java#L17,parallelStream(,Parallel Streams,"15: 
   16: /**
>> 17:  * Features utility functions for creating indexes.
   18:  */
   19: public class Indexer {",Introduces parallel processing on a stream.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,d0b2e21cd423fd3dea447d2394d614ca85d2a004,2022-02-26T07:07:38Z,https://github.com/jxiw/ADOPT/commit/d0b2e21cd423fd3dea447d2394d614ca85d2a004,src/operators/Materialize.java,19,https://github.com/jxiw/ADOPT/blob/d0b2e21cd423fd3dea447d2394d614ca85d2a004/src/operators/Materialize.java#L19,parallelStream(,Parallel Streams,"17: 
   18: /**
>> 19:  * Materializes parts of a table, defined by
   20:  * a subset of columns and a subset of rows.
   21:  *",Introduces parallel processing on a stream.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,a8d7db7c0c4282872620ea89d81486cfd52d0f44,2022-03-04T16:06:27Z,https://github.com/jxiw/ADOPT/commit/a8d7db7c0c4282872620ea89d81486cfd52d0f44,src/operators/Distinct.java,38,https://github.com/jxiw/ADOPT/blob/a8d7db7c0c4282872620ea89d81486cfd52d0f44/src/operators/Distinct.java#L38,parallelStream(,Parallel Streams,"36: }
   37: 
>> 38: public class Distinct {
   39: 
   40:     public static Map<String, Map<Integer, List<Integer>>> tableNamesToUniqueIndexes = new HashMap<>();",Introduces parallel processing on a stream.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,c6267dd40836b77b204fdfa366cb804de0b9f7c9,2021-09-21T20:12:48Z,https://github.com/jxiw/ADOPT/commit/c6267dd40836b77b204fdfa366cb804de0b9f7c9,src/operators/Filter.java,20,https://github.com/jxiw/ADOPT/blob/c6267dd40836b77b204fdfa366cb804de0b9f7c9/src/operators/Filter.java#L20,parallelStream(,Parallel Streams,"18: 
   19: /**
>> 20:  * Filters a table by applying a unary predicate.
   21:  * 
   22:  * @author immanueltrummer",Introduces parallel processing on a stream.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,59cc4aa0ea635c131bd1884d678d659c4c47219f,2022-07-13T20:09:26Z,https://github.com/jxiw/ADOPT/commit/59cc4aa0ea635c131bd1884d678d659c4c47219f,src/joining/JoinProcessor.java,21,https://github.com/jxiw/ADOPT/blob/59cc4aa0ea635c131bd1884d678d659c4c47219f/src/joining/JoinProcessor.java#L21,parallelStream(,Parallel Streams,"19: import query.QueryInfo;
   20: 
>> 21: public class JoinProcessor {
   22:     /**
   23:      * The number of join-related log entries",Introduces parallel processing on a stream.
jxiw/ADOPT,https://github.com/jxiw/ADOPT,e3d8daf793ed073dc27d54159714aa0234ab13f3,2023-05-28T00:21:46Z,https://github.com/jxiw/ADOPT/commit/e3d8daf793ed073dc27d54159714aa0234ab13f3,src/preprocessing/Preprocessor.java,32,https://github.com/jxiw/ADOPT/blob/e3d8daf793ed073dc27d54159714aa0234ab13f3/src/preprocessing/Preprocessor.java#L32,parallelStream(,Parallel Streams,"30: 
   31: /**
>> 32:  * Filters query tables via unary predicates and stores
   33:  * result in newly created tables. Creates hash tables
   34:  * for columns with binary equality join predicates.",Introduces parallel processing on a stream.
